profile,count,severity_band
110100010,11,1
000201000,11,1
011200000,11,1
100100110,10,1
002020000,10,1
102000000,10,1
200110000,10,1
120000000,10,1
001030000,10,1
012000000,9,1
100110010,9,1
002100010,9,1
110000100,9,1
011011000,9,1
210000000,9,1
000300100,9,1
010201000,9,1
002000100,9,1
120100000,9,1
110001100,8,1
000003000,8,1
011100010,8,1
100000010,8,1
101000100,8,1
110010100,8,1
301000000,8,1
210001000,8,1
111010000,8,1
000010010,8,1
001101010,8,1
000000110,8,1
000100001,8,1
101000010,7,1
100030000,7,1
001200010,7,1
001200100,7,1
013000000,7,1
002000010,7,1
001000110,7,1
010102000,7,1
100111000,7,1
000200010,7,1
000000001,7,1
000301000,7,1
021000000,7,1
000200200,6,1
200100100,6,1
001102000,6,1
200020000,6,1
010000010,6,1
021100000,6,1
000121000,6,1
000020200,6,1
010002000,6,1
001201000,6,1
202000000,6,1
100200100,6,1
010101010,6,1
001001100,6,1
010110010,6,1
100020000,6,1
003000010,5,1
010101001,5,1
001100020,5,1
010100001,5,1
022000000,5,1
010001001,5,1
000100030,5,1
001020100,5,1
010003000,5,1
020001000,5,1
310000000,5,1
000110200,5,1
001010110,5,1
000021000,5,1
001000001,5,1
011000110,5,1
000111100,5,1
003000100,5,1
111000100,5,1
110000010,5,1
112000000,5,1
000100020,5,1
100101100,4,1
000103000,4,1
000011100,4,1
001000020,4,1
110100001,4,1
001100001,4,1
010020000,4,1
000011010,4,1
000211000,4,1
101010100,4,1
000210100,4,1
001000300,4,1
002000020,4,1
002010100,4,1
100201000,4,1
000100300,4,1
000101010,4,1
000102000,4,1
000031000,4,1
211000000,4,1
001000200,4,1
100010100,4,1
100002000,4,1
001100200,4,1
010021000,4,1
000001010,4,1
011001010,3,1
010001110,3,1
011000010,3,1
010011100,3,1
100010010,3,1
100101010,3,1
220000000,3,1
020020000,3,1
100000001,3,1
000030100,3,1
200000100,3,1
000000002,3,1
020002000,3,1
010120000,3,1
002000200,3,1
010100110,3,1
200001000,3,1
020000100,3,1
000101200,3,1
000010300,3,1
011001100,3,1
200000200,3,1
100000300,3,1
012000100,3,1
000120100,3,1
001001010,3,1
011010001,3,1
110011000,3,1
011100001,3,1
102010000,3,1
130000000,3,1
101011000,3,1
012001000,3,1
000101110,3,1
000012000,3,1
020101000,3,1
011010010,3,1
010000110,3,1
000300001,2,1
210010000,2,1
010100101,2,1
030100000,2,1
000010200,2,1
012000001,2,1
120001000,2,1
002001100,2,1
111000010,2,1
300000001,2,1
200101000,2,1
000110020,2,1
002001010,2,1
000013000,2,1
100200010,2,1
030001000,2,1
100003000,2,1
000201010,2,1
000000003,2,1
000200110,2,1
010210000,2,1
012000010,2,1
100100020,2,1
000100101,2,1
002100001,2,1
010012000,2,1
300001000,2,1
001001020,2,1
100100200,2,1
010011010,2,1
020110000,2,1
100001010,2,1
200002000,2,1
300000010,2,1
300000100,2,1
010000200,2,1
010030000,2,1
121000000,2,1
100011100,2,1
011000001,2,1
001002000,2,1
012010000,2,1
000111010,2,1
011001001,2,1
200010000,2,1
010010100,2,1
000120010,2,1
101001100,2,1
000010110,2,1
010000020,2,1
300010000,2,1
201010000,2,1
000010020,2,1
000020100,2,1
021010000,2,1
010010200,2,1
102001000,2,1
101100001,2,1
000010001,1,1
100001110,1,1
010000300,1,1
000030010,1,1
100000030,1,1
100021000,1,1
110001001,1,1
100000110,1,1
001002100,1,1
110020000,1,1
020011000,1,1
000100120,1,1
000102010,1,1
110000001,1,1
110000110,1,1
010002001,1,1
011020000,1,1
100100001,1,1
000210001,1,1
001001200,1,1
000100210,1,1
001000012,1,1
030000001,1,1
000011110,1,1
010000001,1,1
000111001,1,1
001000002,1,1
000002110,1,1
000101001,1,1
000202000,1,1
001020010,1,1
101000002,1,1
020000200,1,1
200010010,1,1
010200010,1,1
001000120,1,1
010000011,1,1
010100020,1,1
110010001,1,1
000001110,1,1
000200002,1,1
200100010,1,1
001021000,1,1
000000031,1,1
110000020,1,1
000001020,1,1
020000110,1,1
101000110,1,1
010010020,1,1
010010002,1,1
000110001,1,1
110001010,1,1
021001000,1,1
010011001,1,1
011002000,1,1
001010001,1,1
101001010,1,1
000020110,1,1
010000120,1,1
101001001,1,1
000101020,1,1
000022000,1,1
010001011,1,1
001000030,1,1
010010001,1,1
011010100,1,1
102000010,1,1
000020101,1,1
000101011,1,1
001010200,1,1
000200020,1,1
020001001,1,1
000000220,1,1
110000011,1,1
000002100,1,1
010010110,1,1
110002000,1,1
000020020,1,1
020000020,1,1
010001010,1,1
000000120,1,1
000000011,1,1
000300010,1,1
001100101,1,1
001000111,1,1
010001200,1,1
100102000,1,1
100001020,1,1
000001300,1,1
002000110,1,1
000102001,1,1
001001110,1,1
020100100,1,1
000002002,1,1
020010000,1,1
011000020,1,1
100001001,1,1
102000100,1,1
010100200,1,1
120000010,1,1
210000100,1,1
031000000,1,1
200000020,1,1
000102100,1,1
000003001,1,1
000112000,1,1
000011001,1,1
000001001,1,1
000200001,1,1
110010010,1,1
000000101,1,1
000020010,1,1
000000210,1,1
002011000,1,1
002002000,1,1
003300000,102,2
111101000,70,2
111110000,69,2
111111000,48,2
003110000,42,2
003200000,41,2
111111110,36,2
111111100,34,2
111100100,33,2
011111000,32,2
111101100,32,2
111110100,31,2
110111000,31,2
101110100,28,2
110101100,28,2
003330000,27,2
011101100,26,2
002210000,26,2
002300000,25,2
103300000,24,2
110110100,21,2
102110000,21,2
211100000,21,2
103100000,20,2
000330000,20,2
111110010,17,2
001110110,17,2
102200000,17,2
111101110,16,2
003130000,16,2
013100000,16,2
011111100,16,2
111200100,15,2
011110100,15,2
112100000,15,2
001220000,15,2
001210100,14,2
003030000,14,2
101111000,14,2
003310000,14,2
002200100,13,2
301100000,13,2
111110110,13,2
111210000,13,2
112200000,13,2
110300000,12,2
300300000,12,2
101120000,12,2
013300000,12,2
002220000,12,2
210110000,12,2
101110010,12,2
003020000,12,2
001130000,12,2
102210000,12,2
001310000,11,2
112111000,11,2
003100100,11,2
110111100,11,2
111100010,11,2
111101010,11,2
111111111,11,2
101210000,11,2
003210000,11,2
001111100,11,2
900000000,11,2
011111110,10,2
013200000,10,2
110110010,10,2
013110000,10,2
113100000,10,2
000230000,10,2
201110000,10,2
111111001,10,2
003320000,10,2
022200000,10,2
111200000,10,2
110201000,10,2
202200000,10,2
010111100,10,2
010121000,9,2
101111100,9,2
012101000,9,2
001120100,9,2
112101000,9,2
000320000,9,2
111211000,9,2
303300000,9,2
012200000,9,2
113300000,9,2
102101000,9,2
103200000,9,2
112110000,9,2
112300000,9,2
111201000,9,2
111220000,8,2
303100000,8,2
001230000,8,2
001111110,8,2
003100010,8,2
111120100,8,2
102200100,8,2
111121000,8,2
010131000,8,2
011210000,8,2
011300000,8,2
003301000,8,2
111100110,8,2
001320000,8,2
111111010,8,2
101100110,8,2
001300100,8,2
003230000,8,2
003300100,7,2
101210100,7,2
010220000,7,2
002110100,7,2
003220000,7,2
200300000,7,2
113101000,7,2
013101000,7,2
111121110,7,2
300200000,7,2
012100100,7,2
213300000,7,2
211111110,7,2
011101010,7,2
113000000,7,2
111211100,7,2
113301000,7,2
110330000,7,2
012110000,7,2
102210100,7,2
112201100,7,2
101101100,7,2
010101110,7,2
303000000,7,2
111201100,7,2
003120000,7,2
002120000,7,2
010301000,7,2
112100100,7,2
012220000,6,2
002200200,6,2
121110000,6,2
111211110,6,2
101200010,6,2
201200000,6,2
011110010,6,2
011101110,6,2
010111110,6,2
001330000,6,2
121111000,6,2
113111100,6,2
000310010,6,2
102110100,6,2
030300000,6,2
002130000,6,2
110110110,6,2
011111010,6,2
103110000,6,2
001100030,6,2
112210000,6,2
103310000,6,2
111120000,6,2
110101010,6,2
110120000,6,2
111011000,6,2
101111110,6,2
111210100,6,2
100310000,6,2
110201100,6,2
012110100,6,2
200220000,5,2
033300000,5,2
202100000,5,2
112211100,5,2
102120000,5,2
102100100,5,2
112211000,5,2
111111011,5,2
222000000,5,2
100101110,5,2
120101000,5,2
301300000,5,2
003200100,5,2
012111100,5,2
111111101,5,2
121111100,5,2
300020000,5,2
012300000,5,2
100300100,5,2
113211000,5,2
003101000,5,2
002100110,5,2
120110000,5,2
101110110,5,2
111101101,5,2
111111120,5,2
101211000,5,2
222200000,5,2
021200000,5,2
300110000,5,2
010300100,5,2
112121100,5,2
113110000,5,2
101130000,5,2
112111100,5,2
011201000,5,2
010330000,5,2
112221000,5,2
103230000,5,2
100130000,5,2
121100000,5,2
110130000,5,2
020300000,5,2
003000300,5,2
113210000,5,2
001100300,5,2
113310000,5,2
002310000,5,2
002120100,5,2
110111010,4,2
102220000,4,2
101110200,4,2
202300000,4,2
001200020,4,2
003110100,4,2
001121000,4,2
010101101,4,2
011200100,4,2
113220000,4,2
011101001,4,2
111112000,4,2
112311000,4,2
002200010,4,2
102111000,4,2
103120000,4,2
101101110,4,2
003300200,4,2
010230000,4,2
110121000,4,2
111220100,4,2
203100000,4,2
103320000,4,2
113110100,4,2
101230000,4,2
101310000,4,2
302200000,4,2
110320000,4,2
200121000,4,2
130101000,4,2
101200100,4,2
111101210,4,2
100121000,4,2
111100200,4,2
002230000,4,2
003300300,4,2
330300000,4,2
001211000,4,2
203300000,4,2
013310000,4,2
000009000,4,2
103100100,4,2
003310100,4,2
112220000,4,2
112210100,4,2
011100110,4,2
002111000,4,2
012100010,4,2
010130000,4,2
011130000,4,2
210200000,4,2
003300010,4,2
010110110,4,2
101111010,4,2
111011100,4,2
310101000,4,2
011110110,4,2
110112000,4,2
003000030,4,2
101101010,4,2
111311100,4,2
003001100,4,2
112101100,4,2
111310100,4,2
100330000,4,2
110100110,4,2
120200000,4,2
110101111,4,2
111210110,4,2
002201000,4,2
101201000,4,2
010111010,4,2
111001100,4,2
000000330,4,2
112110100,4,2
310100000,4,2
110111110,4,2
302100000,4,2
112310000,4,2
211101000,4,2
003303000,4,2
112211010,4,2
001112100,3,2
100320000,3,2
012110110,3,2
111130100,3,2
010310000,3,2
200210000,3,2
131100000,3,2
021110000,3,2
011101200,3,2
101311000,3,2
121101110,3,2
010311000,3,2
121201000,3,2
013201000,3,2
201230000,3,2
000900000,3,2
023300000,3,2
111111200,3,2
111100300,3,2
121112000,3,2
000310100,3,2
120112000,3,2
113300100,3,2
003130010,3,2
302300000,3,2
203200000,3,2
022020020,3,2
111111020,3,2
112110110,3,2
002110010,3,2
012210100,3,2
013010000,3,2
111000110,3,2
301110000,3,2
110121100,3,2
111301100,3,2
112111110,3,2
000300330,3,2
000110300,3,2
012201000,3,2
110301100,3,2
221111000,3,2
001111010,3,2
211010000,3,2
300000300,3,2
112110010,3,2
213111000,3,2
020202000,3,2
220110000,3,2
101220000,3,2
010100030,3,2
100220000,3,2
330000000,3,2
213100100,3,2
022100100,3,2
011011100,3,2
010101011,3,2
102110110,3,2
011200010,3,2
200300100,3,2
103130000,3,2
103210000,3,2
111310110,3,2
033000000,3,2
000131000,3,2
111112100,3,2
111101011,3,2
113200000,3,2
213101000,3,2
000330030,3,2
102230000,3,2
220300000,3,2
023000000,3,2
011111001,3,2
103300100,3,2
121111110,3,2
012110200,3,2
111310000,3,2
011011010,3,2
220101000,3,2
111200110,3,2
110201010,3,2
100121010,3,2
110120110,3,2
113130000,3,2
110101110,3,2
001110120,3,2
101300100,3,2
111121100,3,2
112200100,3,2
100300110,3,2
103310100,3,2
012200100,3,2
203000000,3,2
313100000,3,2
110110210,3,2
013111100,3,2
110111101,3,2
002200020,3,2
000020300,3,2
203310000,3,2
002300100,3,2
110310000,3,2
102320000,3,2
102220100,3,2
211111000,3,2
212210100,3,2
012211100,3,2
301310000,3,2
011121100,3,2
013100100,3,2
300030000,3,2
121310000,3,2
002320000,3,2
111102000,3,2
103110110,3,2
113101110,3,2
001301000,3,2
001220110,3,2
011210100,3,2
020030000,3,2
010210010,3,2
003200010,3,2
111221000,3,2
102201000,3,2
203110000,3,2
002220200,3,2
121101100,3,2
112220010,3,2
110101001,3,2
200200020,3,2
300330000,3,2
021300000,3,2
111300000,3,2
300310000,3,2
001110300,3,2
113101100,3,2
201320100,3,2
110100200,3,2
100230000,3,2
020330000,3,2
111212000,3,2
012301000,3,2
012111000,3,2
013100010,3,2
110030000,3,2
310110000,3,2
200120000,3,2
112111200,3,2
112201000,3,2
103010000,3,2
110110200,3,2
130100000,3,2
021210000,3,2
110120100,3,2
001301010,3,2
111110200,3,2
700000000,3,2
111301000,3,2
113111000,3,2
113100100,3,2
002100300,3,2
010202000,3,2
202020000,3,2
201110010,3,2
001200110,3,2
013111000,3,2
010100300,3,2
000320100,3,2
311000000,3,2
111103000,3,2
110211100,3,2
001320100,3,2
013300100,3,2
001211010,2,2
321100000,2,2
011101201,2,2
102300000,2,2
330030000,2,2
020101100,2,2
203110100,2,2
101130100,2,2
113200100,2,2
211101100,2,2
110111300,2,2
200230000,2,2
011201110,2,2
003100110,2,2
103121000,2,2
012211000,2,2
013301000,2,2
012111200,2,2
003000310,2,2
012211010,2,2
112110200,2,2
312101000,2,2
000211100,2,2
201300100,2,2
203120100,2,2
003201000,2,2
110301000,2,2
103220100,2,2
111201210,2,2
303120000,2,2
002221000,2,2
011300010,2,2
110002001,2,2
112101110,2,2
011111111,2,2
002202030,2,2
030000300,2,2
102221000,2,2
212210000,2,2
120100100,2,2
112310100,2,2
202100010,2,2
103200100,2,2
112111001,2,2
020220000,2,2
001300001,2,2
101320110,2,2
021202000,2,2
001331000,2,2
020101001,2,2
000331000,2,2
000110030,2,2
111301200,2,2
012120000,2,2
111100210,2,2
201220000,2,2
301010000,2,2
202300100,2,2
111220110,2,2
030003001,2,2
111211010,2,2
003110300,2,2
213201000,2,2
001131000,2,2
001110200,2,2
111100001,2,2
110200030,2,2
022200200,2,2
012111110,2,2
111100101,2,2
001000310,2,2
000220100,2,2
002010020,2,2
022220000,2,2
321300000,2,2
212220000,2,2
101201100,2,2
012002000,2,2
110312100,2,2
111113000,2,2
012231000,2,2
111131000,2,2
001310010,2,2
010112010,2,2
131100100,2,2
103210100,2,2
220002000,2,2
001220200,2,2
211111010,2,2
002110210,2,2
200202000,2,2
110100310,2,2
011211000,2,2
013101010,2,2
001110020,2,2
113121000,2,2
113100020,2,2
110102000,2,2
000000900,2,2
113120000,2,2
020201000,2,2
000021200,2,2
101011100,2,2
110311000,2,2
100210100,2,2
000330100,2,2
103000100,2,2
121211000,2,2
213100000,2,2
103310010,2,2
011102000,2,2
120111000,2,2
221101001,2,2
200320000,2,2
011211100,2,2
111231000,2,2
110011010,2,2
221102000,2,2
102110200,2,2
212200010,2,2
003210100,2,2
300230000,2,2
300000020,2,2
210100100,2,2
000200300,2,2
102211100,2,2
103030000,2,2
121110100,2,2
113100010,2,2
320100000,2,2
011310000,2,2
000120300,2,2
221110100,2,2
211111100,2,2
210011000,2,2
110121200,2,2
220020000,2,2
012230000,2,2
000120200,2,2
210121000,2,2
202320000,2,2
000000230,2,2
100010210,2,2
200200200,2,2
000110330,2,2
101110210,2,2
201210000,2,2
011320000,2,2
221111100,2,2
011012000,2,2
223110000,2,2
301200000,2,2
112201200,2,2
210111010,2,2
013101110,2,2
113201000,2,2
221110000,2,2
102310000,2,2
100111100,2,2
000230100,2,2
103210110,2,2
110001101,2,2
122201100,2,2
113100110,2,2
000010310,2,2
300120000,2,2
202110100,2,2
100031000,2,2
111212100,2,2
222101010,2,2
102310010,2,2
000110210,2,2
103101000,2,2
211100010,2,2
212110000,2,2
113201100,2,2
003302000,2,2
111201110,2,2
100210010,2,2
111210010,2,2
111101200,2,2
102210110,2,2
230100000,2,2
111121010,2,2
111200010,2,2
300100030,2,2
100121001,2,2
012101100,2,2
013200010,2,2
121101000,2,2
021101011,2,2
230200000,2,2
010001300,2,2
100111010,2,2
210130000,2,2
230000000,2,2
101330000,2,2
203200100,2,2
011210110,2,2
000131100,2,2
013110010,2,2
110111001,2,2
011122100,2,2
212201000,2,2
102300020,2,2
101101200,2,2
011020100,2,2
011120010,2,2
000090000,2,2
111120110,2,2
330101000,2,2
002000220,2,2
103220000,2,2
210101000,2,2
110001210,2,2
202120000,2,2
112200010,2,2
020200200,2,2
200330000,2,2
101310100,2,2
010330010,2,2
211300000,2,2
103300200,2,2
001120110,2,2
120300000,2,2
300130000,2,2
123000000,2,2
210120010,2,2
101120020,2,2
111030010,2,2
310300000,2,2
002100020,2,2
210100001,2,2
203300100,2,2
211110100,2,2
330100000,2,2
003101010,2,2
102110210,2,2
102110010,2,2
110011100,2,2
011120000,2,2
103111000,2,2
011101310,2,2
121301000,2,2
013311000,2,2
000300300,2,2
310111000,2,2
200100300,2,2
303110000,2,2
012101001,2,2
001301100,2,2
111300100,2,2
002000210,2,2
112130000,2,2
011032000,2,2
102211000,2,2
102101100,2,2
300300300,2,2
110210000,2,2
112200110,2,2
320030000,2,2
011100200,2,2
002222000,2,2
003300020,2,2
310200000,2,2
110201110,2,2
111111300,2,2
103300010,2,2
001010300,2,2
113100001,2,2
001310100,2,2
010300200,2,2
020002300,2,2
011100120,2,2
011031000,2,2
101310010,2,2
101121100,2,2
003000200,2,2
101210010,2,2
110001110,2,2
111010100,2,2
201101000,2,2
112100010,2,2
021130000,2,2
100111110,2,2
111110210,2,2
201100010,2,2
012121200,2,2
003010010,2,2
122101000,2,2
033000300,2,2
012101110,2,2
001210010,2,2
111001010,2,2
013310010,2,2
111110001,2,2
111320000,2,2
211220000,2,2
111101111,2,2
003211000,2,2
002211000,2,2
000130100,2,2
210300000,2,2
110101101,2,2
010231100,2,2
003010100,2,2
001130200,2,2
102111100,2,2
011101101,2,2
122100000,2,2
000030300,2,2
113001000,2,2
030100100,2,2
100110120,2,2
110200200,2,2
110031000,2,2
222101000,2,2
112210010,2,2
211100100,2,2
301210000,2,2
103111110,2,2
210111000,2,2
010200020,2,2
030210000,2,2
113110110,2,2
002330000,2,2
111111210,2,2
112301100,2,2
102201100,2,2
220111100,2,2
002102000,2,2
000233000,2,2
101231000,2,2
203000020,2,2
010301100,2,2
001101110,2,2
030330000,2,2
201300000,2,2
013210000,2,2
211120000,2,2
102200110,2,2
010031000,2,2
211103000,2,2
010320000,2,2
213200000,2,2
013211000,2,2
200130000,2,2
110321000,2,2
000222000,2,2
010121100,2,2
112102100,2,2
111311000,2,2
000121100,2,2
101221100,2,2
112120000,2,2
110211200,2,2
012113000,2,2
100121100,2,2
002101100,2,2
001220100,2,2
100110110,2,2
012321000,2,2
002310100,2,2
111120010,2,2
012121110,2,2
002110110,2,2
011301001,2,2
021111110,2,2
110301010,2,2
013300110,2,2
130101110,2,2
210120100,2,2
111220010,2,2
111202100,2,2
002210100,2,2
123101001,2,2
120120000,2,2
101120100,2,2
200100020,2,2
013110100,2,2
110110001,2,2
101100210,2,2
112101001,2,2
003110010,2,2
010210200,2,2
009000000,2,2
001221000,2,2
011121000,2,2
110111111,2,2
200020200,2,2
012011000,2,2
120101001,2,2
302000000,2,2
221210000,2,2
123100100,2,2
102110120,2,2
212310000,2,2
102300100,2,2
020021020,1,2
103301000,1,2
130130010,1,2
003200220,1,2
011103000,1,2
000302100,1,2
220300110,1,2
312110100,1,2
021032001,1,2
000000320,1,2
210111111,1,2
121031000,1,2
130000300,1,2
120202000,1,2
230300010,1,2
010101300,1,2
310011010,1,2
211200200,1,2
222210000,1,2
000031020,1,2
120011001,1,2
132300000,1,2
211110200,1,2
210001220,1,2
112300100,1,2
013131000,1,2
010020300,1,2
022120000,1,2
103200010,1,2
013110021,1,2
230100300,1,2
112112010,1,2
201310000,1,2
100001300,1,2
111112110,1,2
100300020,1,2
013310100,1,2
100100120,1,2
111210210,1,2
013021000,1,2
120201101,1,2
110112200,1,2
000003300,1,2
200110110,1,2
103200300,1,2
120013010,1,2
101200200,1,2
001012110,1,2
012131100,1,2
220111000,1,2
121212000,1,2
201100100,1,2
210001200,1,2
000202200,1,2
110011001,1,2
111101211,1,2
310112100,1,2
201010030,1,2
300300200,1,2
102100010,1,2
320020100,1,2
121320000,1,2
100221000,1,2
301030000,1,2
200110100,1,2
123201000,1,2
011211001,1,2
002100011,1,2
012100001,1,2
012111020,1,2
021000200,1,2
110311010,1,2
011230000,1,2
102301000,1,2
003000330,1,2
303030000,1,2
201130000,1,2
202000020,1,2
113200010,1,2
112212000,1,2
111101001,1,2
110100113,1,2
000013011,1,2
000131010,1,2
033200000,1,2
020031100,1,2
001012010,1,2
002200110,1,2
212102010,1,2
003211100,1,2
310120100,1,2
020222000,1,2
013010010,1,2
301100100,1,2
310301000,1,2
112100200,1,2
313110000,1,2
010111002,1,2
001221210,1,2
302200100,1,2
110112010,1,2
011200310,1,2
213020100,1,2
222110010,1,2
011010200,1,2
000220200,1,2
001330020,1,2
120102120,1,2
013301010,1,2
003102000,1,2
110100030,1,2
000303000,1,2
001310130,1,2
321200000,1,2
003100200,1,2
000122000,1,2
212102100,1,2
300200300,1,2
113100210,1,2
120111210,1,2
110111112,1,2
102011200,1,2
113010010,1,2
131110110,1,2
101100300,1,2
001120200,1,2
012210110,1,2
001100120,1,2
220011000,1,2
300100100,1,2
012100200,1,2
120300100,1,2
010313000,1,2
011010030,1,2
222001100,1,2
111102110,1,2
123300000,1,2
210012000,1,2
100110020,1,2
300030300,1,2
110111130,1,2
030001100,1,2
002002200,1,2
101311010,1,2
102300110,1,2
011002200,1,2
103200200,1,2
113001110,1,2
110103110,1,2
012121001,1,2
111002130,1,2
003020020,1,2
010100320,1,2
013002010,1,2
000303300,1,2
110002230,1,2
210110110,1,2
000033000,1,2
131010100,1,2
200200300,1,2
001110310,1,2
220202000,1,2
013300101,1,2
210211010,1,2
220201110,1,2
310210000,1,2
221200200,1,2
123100000,1,2
011301100,1,2
101111120,1,2
111020100,1,2
001213200,1,2
122200200,1,2
011130010,1,2
300000230,1,2
210301000,1,2
112120100,1,2
222100000,1,2
322000000,1,2
110131000,1,2
013030000,1,2
001200120,1,2
030003000,1,2
113112000,1,2
120330000,1,2
211301100,1,2
003310010,1,2
000111200,1,2
100200020,1,2
130002000,1,2
010111200,1,2
321101100,1,2
002202200,1,2
131101001,1,2
130013100,1,2
001101200,1,2
102000130,1,2
011112100,1,2
210221100,1,2
120010200,1,2
333000000,1,2
120102000,1,2
211200300,1,2
001321010,1,2
100100130,1,2
303100020,1,2
020210020,1,2
013130100,1,2
110011120,1,2
301110030,1,2
012111010,1,2
012310010,1,2
202002200,1,2
102200010,1,2
212100000,1,2
020230100,1,2
112301010,1,2
122110000,1,2
230002020,1,2
100230300,1,2
031101000,1,2
022002200,1,2
202101110,1,2
010132000,1,2
111000300,1,2
111011101,1,2
201200130,1,2
210310000,1,2
070001000,1,2
123100020,1,2
010211001,1,2
102101110,1,2
020300200,1,2
101203110,1,2
200100220,1,2
010220001,1,2
101103000,1,2
210102210,1,2
110113000,1,2
022100000,1,2
300311100,1,2
003000020,1,2
000220010,1,2
210330000,1,2
112103100,1,2
221301000,1,2
101120010,1,2
003221000,1,2
110311200,1,2
210120000,1,2
101030000,1,2
010100130,1,2
000230020,1,2
110010110,1,2
012201100,1,2
110001030,1,2
111100320,1,2
031110000,1,2
111310010,1,2
101200230,1,2
210311000,1,2
011221000,1,2
120201010,1,2
101030110,1,2
122200000,1,2
001110111,1,2
300110200,1,2
000201210,1,2
301211010,1,2
007000000,1,2
212010010,1,2
120200110,1,2
001222000,1,2
201120120,1,2
000023000,1,2
030320000,1,2
202220100,1,2
130101111,1,2
112001110,1,2
021120000,1,2
020002203,1,2
020102000,1,2
110001021,1,2
013202000,1,2
100110320,1,2
102121000,1,2
021112000,1,2
110302011,1,2
012202000,1,2
313100100,1,2
310300020,1,2
110200210,1,2
100120200,1,2
200201000,1,2
003010200,1,2
013102001,1,2
321110100,1,2
011012011,1,2
003300030,1,2
000001202,1,2
031001000,1,2
310121000,1,2
000211010,1,2
210001120,1,2
111301110,1,2
120212000,1,2
100110220,1,2
002020010,1,2
121110110,1,2
122201000,1,2
223101000,1,2
110112100,1,2
101101020,1,2
210100010,1,2
001300020,1,2
302110000,1,2
023200000,1,2
000310110,1,2
013301001,1,2
212103000,1,2
120110200,1,2
122102100,1,2
201220020,1,2
112120010,1,2
001201120,1,2
201030100,1,2
111301101,1,2
000110130,1,2
021200200,1,2
101111020,1,2
001310020,1,2
112021010,1,2
222100200,1,2
221111001,1,2
030000003,1,2
003130100,1,2
113010000,1,2
012031000,1,2
100310010,1,2
301101110,1,2
212100012,1,2
101021000,1,2
022220100,1,2
120111110,1,2
021101002,1,2
220001001,1,2
010032000,1,2
212211000,1,2
010212000,1,2
201100020,1,2
213120000,1,2
011031011,1,2
110023100,1,2
002300200,1,2
011113000,1,2
201220110,1,2
110212010,1,2
033001000,1,2
102310100,1,2
121111001,1,2
021001100,1,2
301000110,1,2
000030220,1,2
110130100,1,2
011001110,1,2
130111000,1,2
000301002,1,2
300020210,1,2
230012010,1,2
010331000,1,2
002120300,1,2
010120300,1,2
111020010,1,2
300202000,1,2
000222100,1,2
110300210,1,2
022000030,1,2
100310100,1,2
010300210,1,2
103000010,1,2
220301000,1,2
101100220,1,2
011001011,1,2
011101011,1,2
123001001,1,2
211110110,1,2
233100000,1,2
030120000,1,2
030001001,1,2
102120120,1,2
003200030,1,2
021111201,1,2
030303000,1,2
003111010,1,2
301100010,1,2
210000200,1,2
103211000,1,2
013000001,1,2
300210000,1,2
013100020,1,2
030101000,1,2
120310000,1,2
002201010,1,2
232110000,1,2
110211120,1,2
300002000,1,2
112111101,1,2
